Name	L	T	K	F	R	LF
Sphagnum squarrosum Crome	5	x	5	7	3	C
Sphagnum strictum Sull.	8	2	3	7	2	C
Sphagnum subnitens Russ. & Warnst. ex Warnst. (plumosum)	8	4	4	7	3	C
Sphagnum subsecundum Nees ex Sturm	6	2	6	7	3	C
Sphagnum tenellum (Brid.) Bory	9	3	4	8	2	C
Sphagnum teres (Schimp.) Aongstr. ex C. Hartm.	9	x	6	7	3	C
Sphagnum warnstorfii Russ.	7	2	6	8	3	C
Sphagnum wulfianum Girg.	4	4	8	7	2	C
Sphenolobus hellerianus (Nees ex Lindenb.) Steph. (Crossocalyx)	6	3	6	6	2	C,(E)
Sphenolobus minutus (Schreb.) Berggr.	7	2	6	5	3	C
Splachnum ampullaceum Hedw.	8	3	6	7	4	T
Splachnum sphaericum Hedw. (ovatum)	8	2	6	8	5	T
Splachnum vasculosum Hedw.	9	1	6	6	5	T
Stegonia latifolia (Schwaegr.) Vent. ex Broth. var. latifolia	8	1	6	6	8	C,T
Stegonia latifolia var. pilifera (Brid.) Broth.	8	1	7	5	8	C,T
Targionia hypophylla L.	6	7	3	4	5	H
Taxiphyllum densifolium (Lindb.) Reimers	5	6	8	6	7	H
Taxiphyllum wissgrillii (Garov.) Wijk & Marg.	3	4	4	6	8	H
Tayloria acuminata Hornsch.	9	1	7	7	5	C
Tayloria froelichiana (Hedw.) Mitt. ex Broth.	7	2	7	7	7	C
Tayloria hornschuchii (Grev. & Arnott) Broth.	9	1	5	6	6	C
Tayloria lingulata (Dicks.) Lindb.	9	1	6	8	5	C
Tayloria rudolphiana (Garov.) B. & S.	9	2	7	5	6	C, E
Tayloria serrata (Hedw.) B. & S.	8	3	7	6	5	C
Tayloria splachnoides (Schleich. ex Schwaegr.) Hook.	7	2	7	6	5	C
Tayloria tenuis (With.) Schimp.	7	3	6	6	5	C
Tetralophozia setiformis (Ehrh.) Schljak.	8	1	4	5	1	C
Tetraphis pellucida Hedw.	3	3	5	6	2	C,(E)
Tetraplodon angustatus (Hedw.) B. & S.	8	2	6	6	7	T
Tetraplodon mnioides (Hedw.) B. & S.	8	2	6	7	7	C
Tetraplodon urceolatus (Hedw.) B. & S.	9	1	7	6	7	C
Tetrodontium brownianum (Dicks.) Schwaegr. (ovatum)	1	4	3	6	1	C
Tetrodontium repandum (Funck) Schwaegr.	2	2	6	6	1	C
Thamnobryum alopecurum (Hedw.) Gang.	4	4	4	6	7	C, A,(E)
Thuidium abietinum (Hedw.) B., S. & G. var. abietinum	8	x	5	2	7	C
Thuidium abietinum var. hystricosum (Mitt.) Loeske	8	4	3	4	9	C
Thuidium delicatulum (Hedw.) B., S. & G. var. del.	7	4	5	4	7	C
Thuidium delicatulum var. dubiosum (Warnst.) Dism. ex Hillier	8	5	7	4	7	C
Thuidium minutulum (Hedw.) B., S. & G. (Cyrtohypnum)	4	5	8	6	7	C, E
Thuidium philibertii Limpr.	6	3	4	6	7	C
Thuidium recognitum (Hedw.) Lindb.	5	3	4	6	6	C
Thuidium tamariscinum (Hedw.) B. & S.	4	4	4	7	4	C,(E)
Timmia austriaca Hedw.	4	1	6	6	8	C
Timmia megapolitana Hedw. ssp. megapolitana	8	6	8	8	9	C
Timmia megapolitana ssp. bavarica (Hessl.) Brassard	3	2	7	6	9	C
Timmia norvegica Zetterstedt var. norvegica	x	1	6	6	7	C
Timmia norvegica var. excurrens Bryhn (comata)	3	1	8	6	9	C
Timmiella anomala (B. & S.) Limpr.	5	9	5	5	5	C
Timmiella barbuloides (Brid.) Moenk.	6	9	5	5	8	C
Tortella bambergeri (Schimp.) Broth.	9	7	7	2	8	C
Tortella densa (Lor. & Mol.) Crundw. & Nyh.	9	3	6	3	8	C
Tortella flavovirens (Bruch) Broth.	7	5	4	2	8	C
Tortella flavovirens var. glareicola (T. Christ.) Crundw.	8	5	3	2	8	C
Tortella flavovirens var. viridiflava (De Not.) Cas.-Gil	9	8	5	2	9	C
Tortella fragilis (Drumm.) Limpr.	9	2	6	x	5	C
Tortella humilis (Hedw.) Jenn.	5	8	7	3	7	C,(E)
Tortella inclinata (Hedw. f.) Limpr.	9	3	5	2	8	C
Tortella inflexa (Bruch) Broth.	4	8	5	3	9	C
Tortella nitida (Lindb.) Broth.	8	8	4	2	7	C
Tortella tortuosa (Hedw.) Limpr. var. tortuosa	5	x	6	5	8	C,(E)
Tortella tortuosa var. fleischeri (E. Bauer) A. Latzel	5	3	7	4	8	C, E
Tortella tortuosa var. fragilifolia (Jur.) Limpr.	3	7	7	3	6	C
Tortula atrovirens (Sm.) Lindb. (Desmatodon convolutus)	9	7	4	1	6	C
Tortula brevissima Schiffn.	9	8	7	2	8	C
Tortula canescens Mont.	9	7	4	1	6	C
Tortula caninervis (Mitt.) Broth. (desertorum, spuria)	9	9	7	1	8	C
Tortula cuneifolia (With.) Turn.	5	8	4	5	6	C
Tortula fragilis Tayl.	5	8	5	5	5	C
Tortula handelii Schiffn.	5	9	7	3	7	C, E
Tortula inermis (Brid.) Mont.	8	8	6	2	6	C
Tortula intermedia (Brid.) Berk. var. intermedia (montana)	9	6	5	1	8	C,(E)
Tortula intermedia var. calva (Dur. & Sag.) Wijk & Marg.	9	6	4	1	8	C
Tortula laevipila (Brid.) Schwaegr. var. laevipila	8	5	4	3	6	C, E
Tortula laevipila var. laevipilaeformis (De Not.) Limpr.	8	8	3	4	6	C, E
Tortula latifolia Bruch ex Hartm.	7	6	4	5	7	C, E
Tortula lingulata Lindb.	5	6	8	7	5	C
Tortula marginata (B. & S.) Spruce.	3	8	4	5	9	C
Tortula mucronifolia Schwaegr.	7	2	7	5	7	C
Tortula muralis Hedw. var. muralis	8	5	5	2	x	C
Tortula muralis var. aestiva Brid. ex Hedw.	3	6	5	5	7	C
Tortula muralis var. obcordata (Schimp) Limpr.	9	8	6	1	x	C
Tortula norvegica (Web. f.) Wahlenb. ex Lindb. var. norvegica	8	1	6	3	5	C
Tortula norvegica var. calva W. Kramer	8	1	7	3	5	C
Tortula obtusifolia (Schwaegr.) Mathieu (Desmatodon)	5	3	7	5	7	C
Tortula pagorum (Milde) De Not.	8	8	6	3	7	E, C
Tortula papillosa Wils. ex Spruce	8	6	4	3	6	E, C
Tortula princeps De Not. var. princeps	9	6	3	3	6	C
Tortula revolvens (Schimp.) G. Roth var. revolvens	9	8	7	1	5	C
Tortula revolvens var. obtusata Reim. (fiori)	9	8	7	1	5	C
Tortula rhizophylla (Saki) Iwats. & Saito (Chenia r.)	8	7	?	2	6	C
Tortula ruraliformis (Besch.) Grout.	9	5	4	1	7	C
Tortula ruralis (Hedw.) G., M. & S. ssp. ruralis	9	x	5	2	6	C,(E)
Tortula ruralis ssp. calcicolens (W. Kramer) Duell	9	5	6	1	7	C
Tortula sinensis (C. Muell.) Broth. (alpina)	7	2	7	2	8	C
Tortula subulata Hedw. var. subulata	6	3	6	5	5	C
Tortula subulata var. angustata (Schimp.) Limpr.	6	5	5	4	6	C
Tortula subulata var. graeffii Warnst.	7	4	4	3	8	C
Tortula subulata var. subinermis (Brid.) Wils.	5	7	4	6	6	C, E
Tortula velenovskyi Schiffn. (Hilpertia v.)	9	8	8	1	9	C
Tortula virescens (De Not.) De Not. (pulvinata)	8	5	5	3	6	C, E
Trematodon ambiguus (Hedw.) Hornsch.	8	3	6	7	2	C
Trematodon brevicollis Hornsch.	6	1	7	7	2	C
Trichocolea tomentella (Ehrh.) Dum.	6	4	4	8	6	C
Trichostomopsis australasiae (Hook. & Grev.) Robins. (Didymodon au.)	7	8	2	3	7	C
Trichostomopsis australasiae var. umbrosa (D. Muell.) Duell (Didymodon umsa)	4	8	3	7	9	C
Trichostomum brachydontium Bruch var. brachydontium	8	6	5	2	8	C
Trichostomum brachydontium var. cuspidatum (Braithw.) Savi	5	5	4	5	9	C
Trichostomum brachydontium var. littorale (Mitt.) C. Jens.	8	6	5	3	8	C
Trichostomum crispulum Bruch. var. crispulum (elatum)	6	4	5	6	9	C
Trichostomum crispulum var. brevifolium (C. Muell.) B. & S.	7	7	4	2	8	C
Trichostomum crispulum var. hammerschmidii (Loeske & Paul) Blumrich	6	3	7	6	9	C
Trichostomum crispulum var. viridulum (Bruch) Dixon	6	6	4	4	7	C
Tritomaria exsecta (Schmid.) Loeske	5	3	5	6	1	C, H
Tritomaria exsectiformis (Breidl.) Loeske	6	3	6	6	2	C,(H)
Tritomaria polita (Nees) Joerg. (Saccobasis)	7	1	6	6	6	C
Tritomaria quinquedentata (Huds.) Buch	6	2	6	6	5	C
Tritomaria scitula (Tayl.) Joerg.	8	1	7	5	6	C
Trochobryum carniolicum Breidl. & Beck	4	5	4	8	8	C
Ulota bruchii Hornsch. (crispa var. norvegica)	4	3	4	5	4	C, E
Ulota coarctata (P. Beauv.) Hammar	6	3	5	6	6	C, E
Ulota crispa (Hedw.) Brid. var. crispa	4	3	5	6	4	C, E
Ulota curvifolia (Wahlenb.) Lilj.	8	1	7	3	2	C
Ulota drummondii (Hook. & Grev.) Brid.	7	2	4	6	4	C, E
Ulota hutchinsiae (Sm.) Hammar	5	3	4	4	3	C,(E)
Ulota macrospora Bauer & Warnstorf	5	6	5	6	2	C, E
Ulota phyllantha Brid.	6	5	2	6	7	C, E
Voitia nivalis Hornsch.	9	1	7	6	5	C
Weissia brachycarpa (Nees & Hornsch.) Jur.	8	4	5	3	6	C
Weissia condensa (Voit ex Sturm) Lindb.	9	6	5	1	9	C
Weissia controversa Hedw. var. controversa	7	4	5	4	6	C
Weissia controversa var. crispata (Nees & Hornsch.) Nyh.	9	4	5	2	7	C
Weissia controversa var. densifolia (B., S. & G.) Wils.	8	6	4	6	6	C
Weissia controversa var. stenocarpa Nees & Hornsch.	8	8	?	4	6	C
Weissia levieri (Limpr.) Kindb.	8	8	3	5	7	T
Weissia longifolia Mitt. (A. crispum)	8	5	5	5	7	T
Weissia rostellata (Brid.) Lindb. (meylanii)	7	6	4	7	5	C,!T
Weissia rutilans (Hedw.) Lindb. mucronata)	8	5	4	6	5	C
Weissia squarrosa (Nees & Hornsch.) C. Muell.	8	5	4	6	5	C
Weissia triumphans (De Not.) M. Hill var. triumphans	9	8	4	1	9	C
Weissia triumphans var. pallidisetum (H. Muell.) Duell (Trichostonum)	9	8	6	1	9	C
Weissia wimmeriana (Sendt.) B., S. & G.	8	2	6	6	6	C
Zygodon conoideus (Dicks.) Hook. & Tayl.	6	5	3	6	5	C, E
Zygodon dentatus Breidl. ex Jur.	6	4	7	6	7	C, E
Zygodon forsteri (With.) Mitt.	6	6	3	6	6	C, E
Zygodon gracilis Wils. ex Berk.	4	2	3	6	9	C
Zygodon ssp. viridissimus var. viridissimus	6	4	3	5	7	C, E
Zygodon ssp. var. stirtonii (Schimp. ex Stirt.) Hagen	4	4	3	6	7	C,(E)
Zygodon ssp. baumgartneri (Malta) Duell (rupestris, vulgaris)	6	4	4	5	7	C, E
