Name	L	T	K	F	R	N	S	LF	LF_B
Anagallis tenella	8	6	1	9	x	2	0	H, C	W
Anarrhinum bellidifolium	8	7	2	4	4	3	0	H	S
Anchusa arvensis (Lycopsis)	7	6	6	4	x	4	0	T, H	S
Anchusa officinalis	9	7	5	3	7	5	0	H	S
Andromeda polifolia	9	4	5	9	1	1	0	Z	I
Androsace alpina	9	1	?	6	2	3	0	C	I
Androsace chamaejasme	9	2	6	5	9	2	0	C	S
Androsace elongata	9	8	7	2	6	1	0	T	S
Androsace hausmannii	9	1	4	3~	9	2	0	C	I
Androsace helvetica	9	2	4	x	8	2	0	C	I
Androsace lactea	8	3	4	4	9	3	0	H	I
Androsace maxima	7	8	7	4	7	3	1	H,T	S
Androsace obtusifolia	8	2	4	5	1	1	0	C	I
Androsace septentrionalis	8	7	7	2	5	2	0	T	S
Androsace vandellii	9	2	4	4	4	2	0	C	I
Anemone narcissiflora	8	3	2	5~	7	4	0	G	S
Anemone nemorosa	x	x	3	5	x	x	0	G	V
Anemone ranunculoides	3	6	4	6	8	8	0	G	V
Anemone sylvestris	7	7	7	3	7	3	0	H	S
Angelica archangelica	7	6	5	9=	x	9	1	H	S
Angelica palustris	7	6	6	8	x	?	0	H	S
Angelica sylvestris	7	x	4	8	x	4	0	H	S
Antennaria carpatica	8	2	x	5	6	2	0	H	W
Antennaria dioica	8	x	x	4	3	2	0	C	I
Anthemis arvensis	7	6	5	4	6	6	0	T	W
Anthemis austriaca	8	7	6	3	9	5	0	T	W
Anthemis cotula	7	6	3	4	x	5	0	T	W
Anthemis ruthenica	9	7	6	3	7	4	0	T	S
Anthemis tinctoria	8	6	5	3	6	4	0	H	S
Anthericum liliago	7	6	4	3	5	2	0	H	S
Anthericum ramosum	7	5	4	3	7	3	0	H	S
Anthoxanthum alpinum	7	3	?	6	2	2	0	T	S
Anthoxanthum odoratum	x	x	x	x	5	x	1	T, H	S
Anthoxanthum puelii (aristatum)	7	6	2	x	2	3	0	T	W
Anthriscus caucalis (scandicina)	8	6	2	5	6	6	0	T	S
Anthriscus cerefolium	6	7	6	5	x	8	0	T	S
Anthriscus nitida	4	4	4	6	8	8	0	H	S
Anthriscus sylvestris	7	x	5	5	x	8	0	H	S
Anthyllis vulneraria	8	6	3	3	7	2	0	H	S
Anthyllis vulneraria ssp. alpestris	8	2	4	4	8	2	0	H	S
Antirrhinum majus	7	7	2	5	7	6	0	T	W
Apera interrupta	9	7	3	2	4	1	0	T	S
Apera spica-venti	6	6	4	6	5	x	0	T	W
Aphanes arvensis	6	6	2	6	x	5	0	T	W
Aphanes inexspectata	7	7	2	5	4	4	0	T	W
Apium graveolens	9	6	2	8	7	8	4	H, A	S
Apium inundatum	7	6	2	10	x	2	0	H, A	S
Apium nodiflorum	7	8	3	10	x	6	1	H, A	S
Apium repens	9	6	3	7=	7	7	1	H	S
Aposeris foetida	4	4	4	5	6	5	0	H	S
Aquilegia atrata	6	4	4	4~	8	3	0	H	S
Aquilegia einseliana (aquilegioides)	7	3	4	5	9	4	0	H	S
Aquilegia vulgaris	6	6	4	4	7	4	0	H	S
Arabidopsis thaliana	6	6	3	4	4	4	0	T, H	W
Arabis alpina	7	3	3	5	9	3	0	C	I
