Name	L	T	K	F	R	N	S	LF	LF_B
Epilobium alpestre	7	3	4	6	7	8	0	H	W
Epilobium alsinifolium	8	2	2	9	6	5	0	H	W
Epilobium anagallidifolium (alpinum)	8	2	3	7	5	4	0	H	W
Epilobium angustifolium	8	x	5	5	5	8	0	H	S
Epilobium collinum	8	4	5	5	2	2	0	H	W
Epilobium dodonaei	9	x	5	4	9	2	0	C	W
Epilobium fleischeri	9	4	5	4~	x	2	0	C	W
Epilobium hirsutum	7	5	5	8=	8	8	1	H	S
Epilobium lanceolatum	8	7	3	4	3	3	0	H	S
Epilobium montanum	4	x	3	5	6	6	0	H,C	W
Epilobium nutans	9	3	4	9	3	3	0	H	W
Epilobium obscurum	7	5	2	8	4	4	0	H, C	W
Epilobium palustre	7	5	x	9	3	2	0	H	W
Epilobium parviflorum	7	5	3	9=	8	6	0	H, C	W
Epilobium roseum	7	6	4	9=	8	8	0	H	W
Epilobium tetragonum ssp. tetragonum	7	6	4	8	6	5	0	H, C	W
Epilobium tetragonum ssp. lamyi	7	6	2	5	7	6	0	H, C	W
Epipactis atrorubens	6	x	3	3	8	2	0	G	S
Epipactis helleborine (latifolia)	3	5	3	5	7	5	0	G	S
Epipactis leptochila	3	6	3	4	9	4	0	G	S
Epipactis microphylla	2	6	4	5	8	4	0	G	S
Epipactis muelleri	7	7	2	3	8	3	0	G	S
Epipactis palustris	8	5	3	9~	8	2	0	G	S
Epipactis purpurata (sessiliflora)	2	6	4	6	8	6	0	G	S
Epipogium aphyllum	2	4	6	5	7	4	0	Gs	S
Equisetum arvense	6	x	x	x~	x	3	0	G	S
Equisetum fluviatile (limosum)	8	4	x	10	x	5	0	A, G	S
Equisetum hyemale	5	5	5	7~	7	6	0	C	I
Equisetum x moorei	7	7	6	7~	7	4	0	G	S
Equisetum palustre	7	x	5	8	x	3	0	G	S
Equisetum pratense	5	4	7	6	7	2	0	G	S
Equisetum ramosissimum	8	7	7	4~	8	1	0	G	S
Equisetum sylvaticum	3	4	x	7	5	4	0	G	S
Equisetum telmateia (maximum)	5	6	2	8	8	5	0	G	S
Equisetum x trachyodon	8	7	4	7~	8	1	0	C	I
Equisetum variegatum	8	3	7	9	8	2	0	C	I
Eragrostis megastachya (cilianensis)	7	7	x	3	8	3	0	T	S
Eragrostis minor	8	7	5	3	x	4	0	T	S
Eragrostis pilosa	8	7	3	3	x	?	0	T	S
Erica cinerea	7	6	1	5	2	1	0	Z	I
Erica herbacea (carnea)	7	x	3	3	x	2	0	Z	I
Erica tetralix	8	5	1	8	1	2	0	Z	I
Erigeron acris	9	5	7	4	8	2	0	T, H	W
Erigeron acris ssp. angulosus	9	4	?	4=	9	?	0	T, H	W
Erigeron alpinus	8	1	5	5	x	3	0	H	S
Erigeron annuus (Stenactis annua)	7	6	x	6	x	8	0	H	S
Erigeron atticus	9	2	4	5	6	4	0	H	S
Erigeron gaudinii (glandulosus)	7	2	4	4	4	?	0	H	S
Erigeron neglectus	9	2	4	5	9	?	0	H	W
Erigeron polymorphus (glabratus)	9	2	4	5	9	3	0	H	W
Erigeron uniflorus	9	1	6	5	5	2	0	H	W
Eriophorum angustifolium	8	x	x	9=	4	2	0	G, A	W
Eriophorum gracile	8	4	5	9=	4	2	0	G, A	W
Eriophorum latifolium	8	x	3	9	8	2	0	H	W
Eriophorum scheuchzeri	9	2	x	9=	4	2	0	H, A	W
Eriophorum vaginatum	7	x	x	9~	2	1	0	H	W
Eritrichum nanum	8	2	7	4	2	2	0	C	S
Erodium ciconium	8	8	?	3	8	5	0	T	W
Erodium cicutarium agg.
Erodium cicutarium ballii	8	6	4	4	5	4	0	T, H	W
Erodium cicutarium cicutarium	8	6	5	4	x	x	0	T, H	W
Erodium cicutarium lebelii (glutinosum)	8	6	?	4	7	2	0	T, H	W
Erodium moschatum	8	7	?	4	7	4	0	T	W
Erophila verna
Erophila verna praecox	8	6	7	2	8	1	0	T, H	W
Erophila verna spathulata	8	6	8	3	9	2	0	T, H	V
Erophila verna verna	8	6	3	x	x	2	0	T	V
Eruca sativa (vesicaria)	8	6	3	4	7	6	0	T	S
Erucastrum gallicum (pollichii)	8	6	4	4	8	4	0	T, H	W
Erucastrum nasturtiifolium (obtusang.)	8	6	2	6=	8	3	0	H, T	W
Eryngium campestre	9	7	5	3	8	3	0	H	W
Eryngium maritimum	9	6	3	4	7	4	?	H	W
Erysimum cheiranthoides	7	5	x	5	7	7	0	T	W
Erysimum cheiri (Cheiranthus)	8	8	4	5	9	6	0	C	W
Erysimum crepidifolium	9	7	5	2	7	1	0	H	W
Erysimum hieraciifolium (strictum)	6	6	7	5	9	8	0	H	S
Erysimum marschallianum (durum)	9	6	7	4	7	5	0	H	S
Erysimum odoratum (pannonicum)	9	7	5	2	8	2	0	H	S
Erysimum repandum	7	7	6	4	8	5	2	T	S
Erysimum rhaeticum (helveticum)	9	4	5	4	4	2	0	H	S
Euonymus europaea	6	5	3	5	8	5	0	N	S
Euonymus latifolia	4	6	4	5	8	5	0	N	S
Euonymus verrucosa	5	6	8	4	7	3	0	N	S
Eupatorium cannabinum	7	5	3	7	7	8	0	H	S
Euphorbia amygdaloides	4	5	3	5	8	5	0	C	I
Euphorbia chamaesyce	8	8	3	3	8	4	0	T	S
Euphorbia cyparissias	8	x	4	3	x	3	0	H, G	W
Euphorbia dulcis	4	5	2	5	8	5	0	G, H	S
Euphorbia esula	8	6	5	4	8	x	0	H	S
Euphorbia exigua	6	6	4	4	8	4	0	T	W
Euphorbia falcata	7	7	3	4	8	5	0	T	S
Euphorbia helioscopia	6	x	3	5	7	7	0	T	W
Euphorbia humifusa	9	7	5	4	7	5	0	T	S
Euphorbia lucida	7	6	6	7~	7	5	0	H	S
Euphorbia maculata	9	8	?	4	7	5	0	T	S
Euphorbia palustris	8	6	6	8~	8	x	1	H	S
Euphorbia peplus	6	6	3	4	x	7	0	T	S
Euphorbia platyphyllos ssp. platyph.	6	7	4	5	7	5	0	T	S
Euphorbia polychroma (epithymoides)	6	7	5	3	8	2	0	H	S
Euphorbia salicifolia	7	7	6	4	8	3	0	H	S
Euphorbia seguierana	9	7	6	2	8	1	0	H	W
Euphorbia stricta (serrulatula)	5	6	4	6	8	7	0	T	S
Euphorbia verrucosa (brittingeri)	8	6	2	3	9	3	0	H	S
Euphorbia villosa	8	7	?	7	?	3	0	G	S
Euphorbia virgata	9	6	6	4~	8	4	0	H	S
Euphrasia cuspidata	8	2	3	5	9	?	0	Thp	S
Euphrasia drosocalix	8	3	3	5	2	2	0	Thp	S
Euphrasia frigida	7	3	3	5	3	2	0	Thp	S
Euphrasia hirtella	8	3	3	5	4	2	0	Thp	S
Euphrasia kerneri	7	5	3	8~	8	2	0	Thp	S
Euphrasia micrantha (gracilis)	7	5	2	5	2	1	0	Thp	S
Euphrasia minima	7	2	x	5	2	3	0	Thp	S
Euphrasia nemorosa (nitidula)	8	5	3	5	4	1	0	Thp	S
Euphrasia picta	6	2	3	6	6	4	0	Thp	S
Euphrasia rostkoviana	6	x	3	x	x	4	0	Thp	S
Euphrasia salisburgensis	7	3	2	5	8	4	0	Thp	S
Euphrasia stricta (ericetorum) agg.	8	x	4	4	x	2	0	Thp	S
Fagus sylvatica	(3)	5	2	5	x	x	0	P	S
Falcaria vulgaris	7	7	6	3	9	x	0	H	S
Fallopia convolvulus	7	6	x	5	x	6	0	Tli	S
Fallopia dumetorum	6	6	4	5	x	7	0	Tli	S
Festuca alpina	8	1	2	3	9	1	0	H	S
Festuca altissima (sylvatica)	3	5	3	5	4	6	0	H	W
Festuca amethystina	6	5	4	3~	8	2	0	H	W
Festuca arundinacea ssp. arundinacea	8	5	x	7~	7	5	2	H	W
Festuca gigantea	4	5	3	7	6	6	0	H	S
Festuca halleri	9	1	7	4	1	1	0	H	W
Festuca halleri ssp. stenantha	8	4	7	3	9	1	0	H	S
Festuca heterophylla	5	6	4	4	5	5	0	H	S
Festuca nigricans (puccinellii)	8	2	4	5	7	6	0	H	S
Festuca norica	8	2	4	5	9	3	0	H	S
Festuca ovina agg.
Festuca ovina cinerea	9	7	4	2	x	1	0	H	S
Festuca ovina duvalii	9	8	7	1	8	1	0	H	S
Festuca ovina hervieri (patzkei)	9	7	2	3	7	2	0	H	S
Festuca ovina heteropachys	9	8	4	2	6	1	0	H	S
Festuca ovina lemanii (var. guestfali	8	5	4	4	7	x	0	H	S
Festuca ovina ovina (vulgaris)	7	x	3	x	3	1	0b	H	S
Festuca ovina pallens	9	7	4	2	8	1	0	H	S
Festuca ovina polesica (caesia)	9	7	6	3	7	2	0	H	S
Festuca ovina pseudovina	8	8	6	3	8	3	1	H	S
Festuca ovina rupicola ssp. rup. (sulcata)	9	7	7	3	8	2	0	H	S
Festuca ovina supina (airoides)	8	2	2	5	2	1	0	H	S
Festuca ovina tenuifolia	7	6	2	4	3	2	0	H	S
Festuca ovina trachyphylla	8	6	6	3	x	2	0	H	S
Festuca ovina valesiaca	8	7	7	2	7	2	0	H	S
Festuca pratensis	8	x	3	6	x	6	0	H	S
Festuca pratensis ssp. apennina	8	3	3	6	7	7	0	H	S
Festuca pulchella	8	2	4	5	7	4	0	H	S
Festuca pumila (quadriflora)	8	2	3	5~	6	4	0	H	S
Festuca rubra agg.
Festuca rubra ssp. arenaria	8	6	5	4	5	3	1	H	W
Festuca rubra ssp. litoralis	8	6	4	6=	7	5	7	H	W
Festuca rubra ssp. rubra	x	x	5	6	6	x	0	H	W
Festuca rubra nigrescens (ssp. commut.)	7	x	4	x	3	2	0	H	W
Festuca rubra trichophylla	8	7	?	7	7	2	0	H	S
Festuca rupicaprina	8	1	4	5	8	2	0	H	W
Festuca varia	9	3	5	3	3	2	0	H	W
Filago arvensis	8	7	5	3	4	2	0	T, H	S
Filago gallica	9	8	2	2	6	1	0	T	S
Filago minima	9	6	3	2	4	1	0	T	S
Filago neglecta	7	8	3	6	4	4	0	T	S
Filago vulgaris agg.
Filago vulgaris lutescens	9	7	2	3	4	2	0	T	S
Filago vulgaris pyramidata (spathulata)	9	8	5	2	4	1	0	T	S
Filago vulgaris vulgaris	8	7	3	3	x	2	0	T	S
Filipendula ulmaria	7	5	x	8	x	5	0	H	S
Filipendula vulgaris (hexapetala)	7	6	5	3~	8	2	0	H	S
Fragaria moschata	6	6	4	5	6	6	0	H	W
Fragaria vesca	7	x	5	5	x	6	0	H	W
Fragaria viridis	7	5	5	3	8	3	0	H	W
Frangula alnus	6	6	5	8~	4	x	0	N	S
Fraxinus excelsior	(4)	5	3	x	7	7	0	P	S
Fraxinus ornus	(5)	8	4	3	8	3	0	P	S
Fritillaria meleagris	8	7	4	8=	7	5	0	G	V
Fumana procumbens	9	7	3	2	9	1	0	Z	I
Fumaria capreolata	6	6	2	5	4	7	0	T	S
Fumaria muralis	7	7	1	5	4	6	0	T	S
Fumaria officinalis	6	6	3	5	6	7	0	T	S
Fumaria parviflora agg.	6	6	5	4	8	5	0	T	S
Fumaria schleicheri	7	7	6	4	8	7	0	T	S
Gagea bohemica	9	8	5	2	5	2	0	G	V
Gagea fistulosa	7	3	4	5	6	7	0	G	V
Gagea lutea (sylvatica)	4	5	4	6~	7	7	0	G	V
Gagea minima	7	6	5	5	7	7	0	G	V
Gagea pratensis agg.	7	6	5	4	8	6	0	G	V
Gagea spathacea	2	6	4	6	7	7	0	G	V
Gagea villosa (arvensis)	6	7	5	4	6	5	0	G	V
Galanthus nivalis	5	6	4	6	7	7	0	G	V
Galega officinalis	7	6	6	6~	7	8	0	H	S
Galeopsis angustifolia	8	7	4	2	8	4	0	T	S
Galeopsis bifida	7	5	5	5	6	6	0	T	S
Galeopsis ladanum	8	5	5	4	8	3	0	T	S
Galeopsis pubescens	7	5	4	5	x	6	0	T	S
Galeopsis segetum (dubia)	7	6	2	4	3	3	0	T	S
Galeopsis speciosa	7	x	6	5	x	8	0	T	S
Galeopsis tetrahit	7	x	3	5	x	6	0	T	S
Galinsoga ciliata (quadriradiata)	7	6	4	4	6	7	0	T	S
Galinsoga parviflora	7	6	3	5	5	8	0	T	S
Galium aparine agg.
Galium aparine aparine	7	6	3	x	6	8	0	Tli	V
Galium aparine spurium	7	x	5	5	8	5	0	Tli	W
Galium boreale	6	6	7	6~	8	2	0	H	W
Galium glaucum (Asperula glauca)	8	7	6	2	9	2	0	H	W
Galium harcynicum (saxatile)	7	5	2	5	2	3	0	C, H	W
Galium megalospermum (rupicola)	8	2	4	5	9	3	0	C, H	W
Galium mollugo agg.
Galium mollugo album ssp. album	7	x	3	5	7	5	0	H	S
Galium mollugo lucidum	7	6	4	3	8	2	0	H	S
Galium mollugo mollugo (elatum)	7	6	3	4	7	?	0	H	S
Galium mollugo truniacum	8	2	4	5	9	?	0	H	S
Galium noricum (baldense agg.)	8	2	4	6	7	3	0	C	W
Galium odoratum (Asperula odorata)	2	5	2	5	6	5	0	H	W
Galium palustre agg.
Galium palustre elongatum	6	5	3	9	5	6	0	H	W
Galium palustre palustre	6	5	3	9=	x	4	0	H	W
Galium parisiense	8	7	3	3	5	2	0	T	W
Galium pusillum agg.
Galium pusillum anisophyllum	9	2	4	5	8	3	0	C, H	S
Galium pusillum pumilum (sylvestre)	7	5	2	4~	4	2	0	H	S
Galium pusillum sterneri	9	5	2	4	5	1	0	H	S
Galium pusillum sudeticum	7	5	4	4	4	?	0	H	S
Galium pusillum valdepilosum	8	6	?	4	6	3	0	H	S
Galium rotundifolium (scabrum)	2	5	2	5	5	4	0	C	W
Galium sylvaticum aristatum	5	x	4	5	6	4	0	H	S
Galium sylvaticum agg.
Galium sylvaticum schultesii	5	5	5	4	7	4	0	G	S
Galium sylvaticum sylvaticum	5	5	4	5	6	5	0	G	S
Galium tricornutum	7	7	3	3	8	3	0	Tli	S
Galium uliginosum	6	5	?	8~	x	2	0	H	S
Galium verum agg. (Cruciata glabra)	7	6	x	4~	7	3	0	H	W
Gaudinia fragilis	8	6	3	5~	x	7	0	T	S
Genista anglica	8	5	1	5	2	2	0	Z	W
Genista germanica	7	5	4	4	2	2	0	Z	W
Genista pilosa	7	5	4	x	2	1	0	Z	W
Genista tinctoria	8	6	3	6~	6	1	0	Z	W
Gentiana acaulis (kochiana)	8	2	4	5	2	2	0	H	W
Gentiana asclepiadea	7	x	4	6~	7	2	0	H	S
Gentiana bavarica	8	2	4	6	8	2	0	H, C	W
Gentiana clusii	9	3	4	5	9	3	0	H	W
Gentiana crutiata	7	6	4	3	8	3	0	H	W
Gentiana lutea	7	3	4	5~	x	2	0	H	S
Gentiana nivalis	9	1	2	5	7	3	0	T	S
Gentiana orbicularis (favrati)	8	1	4	5	8	3	0	H, C	W
Gentiana pannonica	7	3	4	5	1	2	0	H	S
Gentiana pneumonanthe	8	5	3	7	x	1	0	H	W
Gentiana punctata	8	2	4	5	2	2	0	H	W
Gentiana purpurea	7	3	4	5	3	2	0	H	S
Gentiana utriculosa	8	x	4	9~	9	2	0	T	S
Gentiana verna	8	x	4	4	7	2	0	C, H	W
Gentianella aspera	8	3	4	4	9	2	0	H	S
Gentianella baltica	8	6	4	6~	7	?	0	H, T	S
Gentianella bohemica	8	4	4	4	5	2	0	H	S
Gentianella campestris	8	x	2	5	4	2	0	H, T	W
Gentianella ciliata	7	x	4	3	8	2	0	H	S
Gentianella germanica	7	5	4	4~	8	3	0	H	S
Gentianella tenella	9	1	7	5	7	2	0	T	S
Gentianella uliginosa	8	6	2	6~	7	2	0	H	S
Geranium columbinum	7	6	4	4	7	7	0	T	S
Geranium dissectum	6	6	3	5	8	5	0	T	W
Geranium lucidum	5	7	2	5	7	8	0	T, H	W
Geranium molle	7	6	3	4	5	4	0	T	W
Geranium palustre	8	5	4	7~	8	7	0	H	S
Geranium phaeum	6	x	4	5	6	5	0	H	S
Geranium pratense	8	6	5	5	8	7	0	H	S
Geranium pusillum	7	6	5	4	x	7	0	T	W
Geranium pyrenaicum	8	6	4	5	7	8	0	H	W
Geranium robertianum	5	x	3	x	x	7	0	T, H	W
Geranium rotundifolium	7	8	5	4	7	6	0	T	W
Geranium sanguineum	7	6	4	3	8	3	0	H	S
Geranium sylvaticum	6	4	4	6	6	7	0	H	S
Geum montanum (Sieversia mont.)	7	2	2	5	2	2	0	H	W
Geum reptans (Sieversia reptans)	9	1	4	5	2	2	0	H	W
Geum rivale	6	x	5	8~	x	4	0	H	W
Geum urbanum	4	5	5	5	x	7	0	H	W
Gladiolus palustris	8	6	4	6~	8	2	0	G	S
Glaucium corniculatum	7	7	6	4	9	4	0	T	S
Glaucium flavum	9	6	6	6	8	7	2	T, H	S
Glaux maritima	6	6	x	7=	7	5	7	H	W
Glechoma hederacea	6	6	3	6	x	7	0	G, H	W
Globularia cordifolia	9	3	4	4	9	2	0	C	W
Globularia nudicaulis	7	2	2	4	8	3	0	H	W
Globularia punctata (elongata)	8	6	5	2	9	2	0	H	W
Glyceria declinata	5	6	2	8~	6	5	0	H, A	W
Glyceria fluitans	7	x	3	9=	x	7	0	A, H	W
Glyceria maxima (aquatica)	9	5	x	10	8	9	0	A, H	W
Glyceria nemoralis	7	6	6	9=	8	7	0	H, A	W
Glyceria plicata	8	5	3	10~	8	8	0	A, H	W
Glyceria striata	7	6	?	7	7	6	0	H	W
Gnaphalium hoppeanum	8	2	4	7	8	4	0	H	W
Gnaphalium luteo-album	7	6	5	7~	5	3	0	T	S
Gnaphalium norvegicum	7	3	3	5	4	4	0	H	W
Gnaphalium supinum	7	2	3	7~	3	4	0	H, C	W
Gnaphalium sylvaticum	8	x	3	5	4	6	0	H	W
Gnaphalium uliginosum	7	6	4	7	4	4	0	T	V
Goodyera repens	5	x	7	4	x	2	0	H, G	S
Gratiola officinalis	7	7	5	8~	7	4	1	H	W
Groenlandia densa (Potamogeton densus)	8	6	2	12	8	5	0	A	S
Gymnadenia conopsea	7	x	2	7~	8	3	0	G	S
Gymnadenia odoratissima	6	x	4	4~	9	2	0	G	S
Gymnocarpium dryopteris (Dryopt. linneana)	3	4	5	6	4	5	0	G	S
Gymnocarpium robertianum (D. robertiana)	7	4	5	5	8	3	0	G	S
Gypsophila fastigiata	8	8	5	2	6	1	0	C	I
Gypsophila muralis	8	6	5	8=	3	3	0	T	S
Gypsophila repens	9	x	4	5=	9	2	0	C	W
Halimione pedunculata	9	6	x	8=	7	8	7	T	S
Halimione portulacoides	9	6	x	7=	x	7	8	C	I
Hammarbya paludosa (Malaxis paludosa)	9	5	3	9=	2	2	0	H, G	S
Hedera helix	(4)	5	2	5	x	x	0	Z, Pli	I
Hedysarum hedysaroides	8	2	7	5	8	2	0	G	S
Helianthemum alpestre agg.	9	2	4	4	9	2	0	Z	I
Helianthemum apenninum	8	7	2	2	8	1	0	Z	I
Helianthemum canum	8	7	4	2	9	1	0	Z	I
Helianthemum nummularium grandiflorum	7	3	4	4	8	3	0	Z	I
Helianthemum nummularium ssp. glabrum	8	2	4	4	9	3	0	Z	I
Helianthemum nummularium nummularium	7	6	4	3	7	2	0	Z	I
Helianthemum nummularium ovatum (num. obs.)	8	5	4	3	9	2	0	Z	I
Helianthus tuberosus	8	7	?	6	7	8	0	G	S
Helichrysum arenarium	8	6	7	2	5	1	0	H	W
Helictotrichon parlatorei	9	2	4	5	9	3	0	H	W
Heliotropium europaeum	7	8	5	4	8	6	0	T	S
Helleborus foetidus	5	7	2	4	8	3	0	C	I
Helleborus niger	3	5	4	5	8	4	0	H	I
Helleborus viridis	3	6	2	5	8	6	0	H	S
Hepatica nobilis	4	6	4	4	7	5	0	H	I
Heracleum austriacum	9	3	4	6	8	4	0	H	S
Heracleum mantegazzianum	9	6	x	6	x	8	0	H	S
Heracleum sphondylium	7	5	2	5	x	8	0	H	S
Heracleum sphondylium ssp. elegans	7	3	3	6	x	8	0	H	S
Herminium monorchis	7	5	7	5~	8	2	0	G	S
Herniaria glabra	8	6	5	3	4	2	0	H, T	W
Herniaria hirsuta	9	7	7	3	4	1	0	T, C	W
Hesperis matronalis	6	5	6	7=	7	7	0	H	S
Hieracium alpinum	8	2	3	5~	1	1	0	H	W
Hieracium ambiguum (glomeratum)	7	4	5	3	4	?	0	H	W
Hieracium amplexicaule	8	4	2	3	6	?	0	H	W
Hieracium arvicola	8	6	?	5~	8	2	0	H	W
Hieracium aurantiacum	8	3	5	5~	4	2	0	H	W
Hieracium auriculoides	8	7	4	3	7	1	0	H	W
Hieracium bauhinii	9	7	4	3	7	1	0	H	W
Hieracium bifidum	8	x	3	4	8	3	0	H	W
Hieracium bifurcum	9	8	4	2	7	?	0	H	W
Hieracium bupleuroides	9	x	4	4	9	2	0	H	W
Hieracium caesium (vulgatum)	9	4	3	4	8	3	0	H	W
Hieracium caespitosum (pratense)	8	5	6	7~	7	3	0	H	W
Hieracium calodon	9	8	4	3	7	?	0	H	W
Hieracium cymosum	7	6	5	3	8	2	0	H	W
Hieracium dollineri	9	3	4	4	8	2	0	H	W
Hieracium echioides	8	6	6	2	6	1	0	H	W
Hieracium fallax	9	7	4	2	7	1	0	H	W
Hieracium franconicum	9	5	4	2	8	1	0	H	W
Hieracium fuscocinereum	5	5	3	5	7	5	0	H	W
Hieracium fuscum	8	4	4	5	3	2	0	H	W
Hieracium glabratum	9	2	4	4	8	?	0	H	W
Hieracium glaciale (angustifolium)	8	1	4	5	1	1	0	H	W
Hieracium glanduliferum (piliferum)	9	1	4	5	1	1	0	H	W
Hieracium glaucinum (praecox)	5	7	3	4	3	3	0	H	W
Hieracium glaucum	9	3	4	4	9	2	0	H	W
Hieracium hoppeanum	8	3	4	5~	4	2	0	H	W
Hieracium humile	7	3	4	4	7	1	0	H	W
Hieracium intybaceum	8	3	2	4	4	2	0	H	W
Hieracium inuloides	7	3	2	5	5	3	0	H	W
Hieracium jurassicum (juranum)	5	3	5	6	5	x	0	H	W
Hieracium lachenalii (vulgatum)	5	5	x	4	4	2	0	H	S
Hieracium lactucella (auricula)	8	x	3	6~	4	2	0	H	W
Hieracium laevigatum	7	5	3	5	2	2	0	H	W
Hieracium laschii	8	6	5	4	8	2	0	H	W
Hieracium lycopifolium	5	6	3	4	5	4	0	H	S
Hieracium maculatum	5	7	4	4	5	2	0	H	W
Hieracium morisianum (pilosum)	9	2	4	5	9	2	0	H	W
Hieracium pallidum (schmidtii)	8	6	2	4	2	1	0	H	W
Hieracium peletieranum	7	8	2	3	4	2	0	H	W
Hieracium picroides	8	3	3	4	4	?	0	H	W
Hieracium pilosella	7	x	3	4	x	2	0	H	W
Hieracium piloselloides agg.	9	6	4	4~	8	2	0	H	W
Hieracium prenanthoides	7	3	?	5	5	5	0	H	W
Hieracium racemosum	7	6	4	4	5	2	0	H	W
Hieracium rothianum	9	8	6	2	8	1	0	H	W
Hieracium sabaudum	5	6	3	4	4	2	0	H	S
Hieracium schultesii	8	x	?	5	4	2	0	H	W
Hieracium scorzonerifolium	9	?	4	4	9	2	0	H	W
Hieracium sphaerocephalum	8	2	4	5	4	?	0	H	W
Hieracium sylvaticum (murorum)	4	x	3	5	5	4	0	H	W
Hieracium umbellatum	6	6	x	4	4	2	0	H	S
Hieracium valdepilosum	8	3	4	5	7	4	0	H	W
Hieracium villosum	9	2	4	5	9	3	0	H	W
Hieracium wiesbaurianum	7	6	3	3	8	1	0	H	W
Hierochloe australis	5	7	5	3~	8	2	0	H	S
Hierochloe hirta	8	6	?	7~	6	4	0	H	S
Hierochloe odorata (agg.)	6	6	7	9	4	2	0	H, G	S
Himantoglossum hircinum	7	7	2	3	9	2	0	G	S
Hippocrepis comosa	7	5	2	3	7	2	0	H, C	W
Hippophae rhamnoides	9	6	6	4~	8	3	0	N	I
Hippuris vulgaris	7	5	x	10	8	x	0	A	S
Hirschfeldia incana	8	6	3	3	7	5	0	T	S
Holcus lanatus	7	6	3	6	x	5	1	H	W
Holcus mollis	5	5	2	5	2	3	0	G, H	W
Holoschoenus romanus (vulgaris)	8	6	?	8~	7	8	0	G
Holosteum umbellatum	8	6	5	3	x	2	0	T	W
Homogyne alpina	6	4	2	6	4	2	0	H	I
Homogyne discolor	8	1	4	7	8	5	0	H	I
Honckenya peploides	9	6	x	6=	7	7	5	G, H	W
Hordelymus europaeus	4	5	4	5	7	6	0	H	W
Hordeum jubatum	9	6	x	6	7	6	2	T	S
Hordeum marinum agg.	9	6	4	8=	7	5	6	T	S
Hordeum murinum agg.	8	7	x	4	7	5	0	T	S
Hordeum secalinum (nodosum)	8	6	2	6	6	5	4	H	S
Horminum pyrenaicum	9	2	4	5	9	2	0	H	S
Hornungia petraea	8	7	2	2	9	1	0	T	V
Hottonia palustris	7	6	5	12	5	4	0	A	W
Humulus lupulus	7	6	3	8=	6	8	0	Hli	S
Huperzia selago	4	3	3	6	3	5	0	C	I
Hutchinsia alpina	8	2	2	5	9	2	0	C	W
Hydrilla verticillata	6	6	3	12	9	3	0	A	I
Hydrocharis morsus-ranae	7	6	4	11	7	6	0	A	S
Hydrocotyle vulgaris	7	5	2	9~	3	2	1	H	W
Hymenophyllum tunbrigense	5	6	1	7	3	?	0	C	I
Hyoscyamus niger	8	6	x	4	7	9	0	T, H	S
Hypericum x desetangsii	7	6	3	6~	7	5	0	H	W
Hypericum elegans	7	7	6	3~	9	2	0	H	S
Hypericum elodes	8	6	1	9=	2	1	0	H	W
Hypericum hirsutum	7	6	4	5	8	7	0	H	S
Hypericum humifusum	7	x	2	7	4	3	0	C, T	W
Hypericum maculatum	8	x	3	6~	3	2	0	H	W
Hypericum montanum	5	6	4	4	7	3	0	H	S
Hypericum perforatum	7	6	5	4	6	4	0	H	S
Hypericum pulchrum	4	6	2	5	3	2	0	H	W
Hypericum tetrapterum (acutum)	7	5	2	8=	7	5	0	H	W
Hypochoeris glabra	9	7	2	3	3	1	0	T	S
Hypochoeris maculata	7	6	5	4~	6	2	0	H	S
Hypochoeris radicata	8	5	3	5	4	3	1	H	S
Hypochoeris uniflora	8	2	4	4~	4	2	0	H	S
Hyssopus officinalis	8	7	6	2	7	3	0	Z	W
Iberis amara	7	7	2	4	8	3	0	T	S
Iberis intermedia	8	7	4	4	9	?	0	T	S
Ilex aquifolium	(4)	5	2	5	4	5	0	P	I
Illecebrum verticillatum	8	7	2	7	3	2	0	T	S
Impatiens glandulifera	5	7	2	8=	7	7	0	T	S
Impatiens noli-tangere	4	5	5	7	7	6	0	T	S
Impatiens parviflora	4	6	5	5	x	6	0	T	S
Inula britannica	8	6	5	7=	8	5	2	H	S
Inula conyza	6	6	2	4	7	3	0	H	W
Inula germanica	8	7	6	3	8	2	0	G, H	S
Inula graveolens	9	7	3	4	8	5	0	T	S
Inula helenium	7	7	6	5	7	5	0	H	S
Inula helvetica (vaillantii)	7	8	5	8~	8	8	0	H	S
Inula hirta	7	6	6	3	8	3	0	H	S
Inula salicina	8	6	5	6~	9	3	1	H	S
Inula spiraeifolia	8	7	6	3	9	2	0	H	S
Iris aphylla	8	7	6	3	6	1	0	G	S
Iris germanica	8	8	3	3	8	2	0	H	S
Iris pseudacorus	7	6	3	9=	x	7	0	A, G	W
Iris sambucina	9	7	6	3	9	4	0	G	S
Iris sibirica	8	6	5	8~	6	2	0	G	S
Iris spuria	9	8	5	7	8	3	2	G	S
Iris variegata	7	7	6	3	x	?	0	H	S
Isatis tinctoria	8	7	7	3	8	3	0	H	S
Isoetes echinospora	7	3	3	12	6	1	0	A	S
Isoetes lacustris	7	4	2	12	4	1	0	A	S
Isolepis fluitans	8	6	2	10	3	2	0	A	W
Isolepis setacea	6	5	2	9	5	3	0	T, H	W
Iva xanthiifolia	9	7	8	4	7	6	0	T	S
Jasione laevis	9	6	1	5	3	2	0	C	W
Jasione montana	7	6	3	3	3	2	0	H	W
Jovibarba sobolifera	9	6	5	2	8	1	0	C	I
Juglans regia	6	8	2	6	7	7	0	P	S
Juncus acutiflorus (sylvaticus)	9	6	2	8	5	3	0	G, H	W
